"d","tot.tests","sens","Ds","p","Da","Ts","Ta","sim","median","lower","upper","objective"
0.6,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,26,4,2,6,"peak.hosp"
0.6,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,26,0,0,0,"days.above.thresh"
0.6,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,26,12,8,17,"tot.hosp"
0.6,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,26,7,4,11,"death"
0.6,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,26,198,168,230,"sympiso"
0.6,100,1,0.0416666666666667,0.2,0.0416666666666667,24,24,26,6,3,11,"asympiso"
0,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,27,1299,1013.95,1613,"tot.cases"
0,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,27,10,6,15,"peak.hosp"
0,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,27,0,0,0,"days.above.thresh"
0,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,27,35,25,48,"tot.hosp"
0,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,27,18,11,26,"death"
0,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,27,741,598.95,903,"sympiso"
0,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,27,65,49,84,"asympiso"
0.05,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,28,1116,853,1411,"tot.cases"
0.05,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,28,9,5,13,"peak.hosp"
0.05,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,28,0,0,0,"days.above.thresh"
0.05,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,28,32,23,44,"tot.hosp"
0.05,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,28,16,10,24,"death"
0.05,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,28,658,523,810.05,"sympiso"
0.05,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,28,59,44,76,"asympiso"
0.1,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,29,953,730.95,1202,"tot.cases"
0.1,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,29,8,5,12,"peak.hosp"
0.1,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,29,0,0,0,"days.above.thresh"
0.1,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,29,29,20,39,"tot.hosp"
0.1,250,1,0.0416666666666667,0.2,0.0416666666666667,24,24,29,15,9,22,"death"
