"d","tot.tests","sens","Ds","rho","Da","Ts","Ta","sim","median","lower","upper","objective"
0.25,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,32,187,156,221.05,"sympiso"
0.25,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,32,25,16,35,"asympiso"
0.3,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,33,236,174,313,"tot.cases"
0.3,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,33,4,2,6,"peak.hosp"
0.3,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,33,0,0,0,"days.above.thresh"
0.3,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,33,11,7,16,"tot.hosp"
0.3,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,33,6,3,10,"death"
0.3,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,33,175,147,205,"sympiso"
0.3,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,33,23,15,33,"asympiso"
0.35,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,34,208,153,278,"tot.cases"
0.35,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,34,4,2,6,"peak.hosp"
0.35,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,34,0,0,0,"days.above.thresh"
0.35,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,34,10,6,15,"tot.hosp"
0.35,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,34,6,3,10,"death"
0.35,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,34,163,138,191,"sympiso"
0.35,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,34,21,14,30,"asympiso"
0.4,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,35,183,136,241,"tot.cases"
0.4,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,35,3,2,5,"peak.hosp"
0.4,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,35,0,0,0,"days.above.thresh"
0.4,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,35,10,6,14,"tot.hosp"
0.4,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,35,6,3,10,"death"
0.4,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,35,152,130,178,"sympiso"
0.4,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,35,20,13,28,"asympiso"
0.45,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,36,161,120,212,"tot.cases"
0.45,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,36,3,2,5,"peak.hosp"
0.45,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,36,0,0,0,"days.above.thresh"
0.45,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,36,9,6,14,"tot.hosp"
0.45,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,36,6,3,9,"death"
0.45,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,36,142,122,165,"sympiso"
0.45,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,36,18,12,26,"asympiso"
0.5,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,37,142,106,186,"tot.cases"
0.5,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,37,3,2,5,"peak.hosp"
0.5,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,37,0,0,0,"days.above.thresh"
0.5,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,37,9,6,13,"tot.hosp"
0.5,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,37,5,3,9,"death"
0.5,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,37,134,115,155,"sympiso"
0.5,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,37,17,11,25,"asympiso"
0.55,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,38,125,94,162,"tot.cases"
0.55,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,38,3,2,5,"peak.hosp"
0.55,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,38,0,0,0,"days.above.thresh"
0.55,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,38,8,5,12,"tot.hosp"
0.55,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,38,5,2,9,"death"
0.55,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,38,126,110,145,"sympiso"
0.55,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,38,16,10,23,"asympiso"
0.6,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,39,109,82,141,"tot.cases"
0.6,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,39,3,2,5,"peak.hosp"
0.6,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,39,0,0,0,"days.above.thresh"
0.6,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,39,8,5,12,"tot.hosp"
0.6,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,39,5,2,8,"death"
0.6,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,39,119,103,136,"sympiso"
0.6,250,1,0.0416666666666667,0.5,0.0416666666666667,24,24,39,15,9,22,"asympiso"
0,500,1,0.0416666666666667,0.5,0.0416666666666667,24,24,40,401,293,542,"tot.cases"
0,500,1,0.0416666666666667,0.5,0.0416666666666667,24,24,40,4,3,6,"peak.hosp"
